result_0,idxs_0,citations_0,class_0,result_1,idxs_1,citations_1,class_1,result_2,idxs_2,citations_2,class_2,id,enhanced,top_reason,top_order
FTD/TPI plus bevacizumab showed clinically meaningful activity and a tolerable safety profile in mCRC.,[3],"['clinically meaningful activity and a tolerable safety profile. Outcomes were consistent with the SUNLIGHT trial, supporting the routine use of this combination in later-line option in mCRC.']","{""fieldresult"":[{""name"":""Bevacizumab effectiveness"",""value"":""FTD/TPI plus bevacizumab showed clinically meaningful activity and a tolerable safety profile in mCRC."",""source_id"":[3]}]}","retrospective, multicenter analysis",[2],"['to this treatment. Patients and methods: We conducted a retrospective, multicenter analysis of patients with refractory mCRC treated with FTD/TPI plus bevacizumab across 15 Italian centers. The primary endpoint was overall survival (OS). Secondary']","{""fieldresult"":[{""name"":""Type of study"",""value"":""retrospective, multicenter analysis"",""source_id"":[2]}]}",297 patients were included in the study.,[1],"['response rate (ORR), and safety. Results: 297 patients were included. Median age was 61.8 years, and 79.1% had â\x89¥2 metastatic sites. Most patients (89.9%) had prior bevacizumab exposure, and 35.4% had received â\x89¥3 treatment lines. ORR was 7.4%, and the']","{""fieldresult"":[{""name"":""Num participants"",""value"":""297 patients were included in the study."",""source_id"":[1]}]}",41890587,"{""enhanced_ver"":""FTD/TPI plus bevacizumab showed clinically meaningful activity and a tolerable safety profile in mCRC (retrospective, multicenter analysis; 297 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""2""],""rationale"":[""The sentence does not comment on how the effectiveness was not described; it directly reports the observed activity."",""The sentence is specifically about the effectiveness of bevacizumab in colorectal cancer (mCRC)."",""The sentence is specific enough for experts, including the study type and number of patients."",""The sentence offers actionable insights for oncologists regarding the use of bevacizumab in mCRC, even though it is a retrospective analysis."",""The study type is a retrospective, multicenter analysis, which is classified as level 2.""]}",,999
near-complete remission achieved with bevacizumab as part of a systemic regimen.,"[0, 1, 8]","['systemic regimen (sintilimab/tislelizumab 200 mg/q3W combined with bevacizumab 7.5 mg/kg/q3W and capecitabine 1000 mg/m2). After six cycles, the tumor achieved near-complete remission, with negative mesorectal fascia (MRF) and extramural vascular invasion', 'near-complete remission, with negative mesorectal fascia (MRF) and extramural vascular invasion (EMVI) status. As of the most recent telephone follow-up prior to manuscript submission, the patient remained progression-free for 17 months. This case', 'MSI-H status who had no chance of surgery due to tumor invasion of the uterine wall (cT3N2Mx) and who underwent a systemic treatment regimen of photodynamic therapy (PDT) in combination with a PD-1 inhibitor and antiangiogenic therapy. The treatment']","{""fieldresult"":[{""name"":""Bevacizumab effectiveness"",""value"":""near-complete remission achieved with bevacizumab as part of a systemic regimen."",""source_id"":[0,1,8]}]}",clinical trial,[3],['Photodynamic therapy combined with systemic treatment achieves significant remission in microsatellite instability-high locally advanced colorectal cancer: A case report and literature review.'],"{""fieldresult"":[{""name"":""Type of study"",""value"":""clinical trial"",""source_id"":[3]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",41580233,"{""enhanced_ver"":""Near-complete remission achieved with bevacizumab as part of a systemic regimen (clinical trial; 1 patient)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""2""],""rationale"":[""The sentence does not comment on the lack of effectiveness; it describes an observed outcome."",""The sentence is specifically about the effectiveness of bevacizumab on colorectal cancer."",""The sentence is specific enough for experts, including the study type and number of patients."",""The sentence offers actionable insight for oncologists regarding a systemic regimen in a specific case."",""The study type is a case report, which is assigned a priority level of 2.""]}",,999
"The liver metastases steadily reduced in size, and continued to regress, suggesting a clinical complete response.","[1, 2, 3]","['regimen was switched to FOLFIRI+bevacizumab, which was administered over 43 courses. Although the liver metastases steadily reduced in size, the response remained as a partial response. Two years and 6 months after the initiation of chemotherapy, the', 'chemotherapy was initiated with a single course of mFOLFOX6, followed by 11 courses of mFOLFOX6+bevacizumab. Due to worsening peripheral neuropathy, the regimen was switched to FOLFIRI+bevacizumab, which was administered over 43 courses. Although the', 'was continued thereafter. Three years and 4 months after discontinuation of chemotherapy, the liver metastases continued to regress, suggesting a clinical complete response.']","{""fieldresult"":[{""name"":""Bevacizumab effectiveness"",""value"":""The liver metastases steadily reduced in size, and continued to regress, suggesting a clinical complete response."",""source_id"":[1,2,3]}]}",clinical trial,[0],['[Rectosigmoid Colon Cancer with Unresectable Liver Metastases That Responded Remarkably to Bevacizumab-Combined Chemotherapy-A Case Report].'],"{""fieldresult"":[{""name"":""Type of study"",""value"":""clinical trial"",""source_id"":[0]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",41437610,"{""enhanced_ver"":""The liver metastases steadily reduced in size and continued to regress, suggesting a clinical complete response (case study; 1 patient)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""2""],""rationale"":[""The sentence does not comment on the lack of effectiveness; it describes an observed response."",""The sentence is about the effectiveness of Bevacizumab on Colorectal cancer."",""The sentence is specific enough for experts, including the study type and number of patients."",""The sentence offers actionable insights for oncologists regarding a clinical complete response in a case report."",""The study type is a case study, which is assigned a priority level of 2.""]}",,999
"Bevacizumab, when used in combination with TAS-102 as maintenance therapy, showed a median PFS1 of 8.7 months and a disease control rate of 94.2% in metastatic colorectal cancer.","[2, 4]","['oxaliplatin during induction was 529â\x80\x89mg/m2. Median PFS1 during TAS+Bev maintenance was 8.7 months (95%CI: 5.5-12.3). The response rate and disease control rate during maintenance were 59.6% and 94.2%, respectively. Oxaliplatin reintroduction was', 'as the time the start of maintenance therapy to disease progression or death, was evaluated as the primary endpoint. RESULTS: The median cumulative dose of oxaliplatin during induction was 529â\x80\x89mg/m2. Median PFS1 during TAS+Bev maintenance was 8.7 months']","{""fieldresult"":[{""name"":""Bevacizumab effectiveness"",""value"":""Bevacizumab, when used in combination with TAS-102 as maintenance therapy, showed a median PFS1 of 8.7 months and a disease control rate of 94.2% in metastatic colorectal cancer."",""source_id"":[2,4]}]}",Clinical trial,[2],['Phase II study of maintenance trifluridine/tipiracil (TAS-102) plus bevacizumab after induction chemotherapy in metastatic colorectal cancer.'],"{""fieldresult"":[{""name"":""Type of study"",""value"":""Clinical trial"",""source_id"":[2]}]}",52 patients,[0],"['oxaliplatin and fluoropyrimidines. MATERIALS AND METHODS: Patients with untreated mCRC initially received induction chemotherapy with fluoropyrimidine, oxaliplatin plus bevacizumab for 3-4 months. After achieving stable disease or better on imaging, 52']","{""fieldresult"":[{""name"":""Num participants"",""value"":""52 patients"",""source_id"":[0]}]}",41766359,"{""enhanced_ver"":""Bevacizumab, when used in combination with TAS-102 as maintenance therapy, showed a median PFS1 of 8.7 months and a disease control rate of 94.2% in metastatic colorectal cancer (clinical trial; 52 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""1""],""rationale"":[""The sentence does not comment on the lack of effectiveness; it describes observed effectiveness."",""The sentence is specifically about the effectiveness of Bevacizumab on colorectal cancer."",""The sentence is detailed enough for experts, including PFS1 and disease control rate."",""The sentence provides actionable insights for oncologists regarding maintenance therapy in metastatic colorectal cancer."",""The study is a clinical trial with 52 patients, which is level 1 priority.""]}",,999
"Bevacizumab combined with chemotherapy showed reduced progression free survival in BRAFV600E patients, indicating limited effectiveness.","[2, 6]","['was particularly evident in patients receiving bevacizumab plus chemotherapy, who exhibited significantly shorter PFS (P < 0.05)â\x80\x94a finding consistent with updated BEACON CRC trial data highlighting the refractory nature of BRAFV600E tumors to standard', 'Therapeutically, BRAFV600E conferred marked resistance to first line treatment: ORR was only 21.2% compared to 63.2% in non-V600E cases (P < 0.01). This resistance was particularly evident in patients receiving bevacizumab plus chemotherapy, who exhibited']","{""fieldresult"":[{""name"":""Bevacizumab effectiveness"",""value"":""Bevacizumab combined with chemotherapy showed reduced progression free survival in BRAFV600E patients, indicating limited effectiveness."",""source_id"":[2,6]}]}",clinical trial and in vitro,"[1, 2, 8]","['benchmarking against the western cohorts (TCGA/MSKCC). Clinical outcomes including overall survival (OS), metastasis site, and treatment response were assessed. Isogenic cell line models validated functional impacts of BRAF variants.', 'updated BEACON CRC trial data highlighting the refractory nature of BRAFV600E tumors to standard regimens. Critically, these clinical observations were supported by functional validation: BRAFV600E mutant RKO cells demonstrated significantly greater', 'heightened proliferation, invasion, and peritoneal disseminationâ\x80\x94in both patient-derived cohorts and preclinical models.']","{""fieldresult"":[{""name"":""Type of study"",""value"":""clinical trial and in vitro"",""source_id"":[1,2,8]}]}",146 patients with BRAF mutations were treated with bevacizumab in the study.,[4],"['The FUSCC-CRC cohort comprises 146 CRC patients harboring BRAF mutations, treated at the Department of Colorectal Surgery, Fudan University Shanghai Cancer Center, between July 2021 and July 2023. Tumor tissues were obtained via colonoscopy or surgical']","{""fieldresult"":[{""name"":""Num participants"",""value"":""146 patients with BRAF mutations were treated with bevacizumab in the study."",""source_id"":[4]}]}",41838250,"{""enhanced_ver"":""Bevacizumab combined with chemotherapy showed reduced progression free survival in BRAFV600E patients, indicating limited effectiveness (clinical trial; 146 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""1""],""rationale"":[""The sentence directly describes the observed effectiveness of bevacizumab, not a meta-comment on its lack of description."",""The sentence specifically addresses bevacizumab's effectiveness in colorectal cancer, not another condition."",""The sentence includes detailed clinical findings relevant to experts, such as PFS and resistance in BRAFV600E patients."",""The sentence provides actionable insights for oncologists regarding the limited effectiveness of bevacizumab in BRAFV600E colorectal cancer patients."",""The study is a clinical trial with 146 patients, which is classified as level 1 priority.""]}","{""id"":14,""decision"":""YES"",""reasoning"":""Result 14 is a clinical trial (146 patients) showing reduced PFS in BRAFV600E patients, which is critical for identifying subpopulations where bevacizumab may be less effective.""}",4
The patient resumed systemic chemotherapy with bevacizumab plus FOLFIRI postoperatively.,[0],"['findings revealed well-differentiated adenocarcinoma. Postoperatively, the patient resumed systemic chemotherapy with bevacizumab plus FOLFIRI. This case highlights the clinical importance of considering malignant recurrence even when stoma-associated']","{""fieldresult"":[{""name"":""Bevacizumab effectiveness"",""value"":""The patient resumed systemic chemotherapy with bevacizumab plus FOLFIRI postoperatively."",""source_id"":[0]}]}",clinical trial,[5],"['Colostomy site carcinoma is an extremely rare clinical entity, particularly as a form of postoperative recurrence. We report a case of recurrent adenocarcinoma at the colostomy site following surgery for rectosigmoid cancer. A male patient in his 70s']","{""fieldresult"":[{""name"":""Type of study"",""value"":""clinical trial"",""source_id"":[5]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",41546314,"{""enhanced_ver"":""The patient resumed systemic chemotherapy with bevacizumab plus FOLFIRI postoperatively (clinical trial)."",""evaluations"":[""NO"",""YES"",""YES"",""NO"",""1""],""rationale"":[""The sentence does not comment on the lack of effectiveness description; it describes an action taken."",""The sentence is about the effectiveness of bevacizumab in treating colorectal cancer."",""The sentence is specific enough for experts, mentioning the treatment and study type."",""The sentence does not provide actionable insights for practicing oncologists."",""The study type is a clinical trial, which is level 1.""]}",,999
"Bevacizumab is effective in both RAS-mutant and wild-type CRC, particularly when EGFR inhibitors are not viable treatment options.",[4],"['It has been demonstrated that bevacizumab is effective in both RAS-mutant and wild-type CRC, particularly in cases where EGFR inhibitors are not viable treatment options. However, intrinsic or acquired resistance is observed in nearly 40 % of patients']","{""fieldresult"":[{""name"":""Bevacizumab effectiveness"",""value"":""Bevacizumab is effective in both RAS-mutant and wild-type CRC, particularly when EGFR inhibitors are not viable treatment options."",""source_id"":[4]}]}",in vitro,"[0, 1]","['them through in vitro cell experiments. Moreover, we conducted Kaplan-Meier curve analyses across different clinical subgroups to evaluate the most promising predictive and responsive genes, verifying their potential utility in clinical applications. At', 'these results, we conducted integrative analyses of the RNA and protein levels alongside clinical characteristics. We then refined the candidate genes and validated them through in vitro cell experiments. Moreover, we conducted Kaplan-Meier curve analyses']","{""fieldresult"":[{""name"":""Type of study"",""value"":""in vitro"",""source_id"":[0,1]}]}",620 colorectal cancer patients treated with Bevacizumab,[0],"['Patient data for 620 colorectal cancer patients treated with Bevacizumab were retrieved from The Cancer Genome Atlas (TCGA) database. Using Perl programming, gene expression profiles associated with potential treatment responses were systematically']","{""fieldresult"":[{""name"":""Num participants"",""value"":""620 colorectal cancer patients treated with Bevacizumab"",""source_id"":[0]}]}",41522748,"{""enhanced_ver"":""Bevacizumab is effective in both RAS-mutant and wild-type CRC, particularly when EGFR inhibitors are not viable treatment options (in vitro; 620 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""3""],""rationale"":[""The sentence does not comment on how the effectiveness was not described in the text."",""The sentence is specifically about the effectiveness of Bevacizumab on Colorectal cancer."",""The sentence is specific enough for experts, including study type and number of patients."",""The sentence offers actionable insights for practicing oncologists, even though it is preclinical."",""The study type is in vitro, which corresponds to priority level 3.""]}",,999
"Bevacizumab resistance is driven by PKM2 lactylation, which promotes vasculogenic mimicry in CRC. Inhibition of PKM2 lactylation synergizes with bevacizumab, improving therapeutic efficacy.","[3, 4, 5]","['to CRC cell VM. Genetic or pharmacological inhibition of PKM2 lactylation disrupted VM and synergized with bevacizumab in patient-derived pre-clinical models, significantly improving therapeutic efficacy. Together, this study reveals lactylation as a', 'mechanism driving vasculogenic mimicry (VM) and bevacizumab resistance through PKM2 lactylation. PKM2 lactylation at K206 by AARS1 promoted PKM2 nuclear translocation and interaction with FOSL1. PKM2 binding facilitated FOSL1-dependent super-enhancer', 'translocation and interaction with FOSL1. PKM2 binding facilitated FOSL1-dependent super-enhancer formation and target gene transcription, which contributed to CRC cell VM. Genetic or pharmacological inhibition of PKM2 lactylation disrupted VM and']","{""fieldresult"":[{""name"":""Bevacizumab effectiveness"",""value"":""Bevacizumab resistance is driven by PKM2 lactylation, which promotes vasculogenic mimicry in CRC. Inhibition of PKM2 lactylation synergizes with bevacizumab, improving therapeutic efficacy."",""source_id"":[3,4,5]}]}",pre-clinical models,[0],"['to CRC cell VM. Genetic or pharmacological inhibition of PKM2 lactylation disrupted VM and synergized with bevacizumab in patient-derived pre-clinical models, significantly improving therapeutic efficacy. Together, this study reveals lactylation as a']","{""fieldresult"":[{""name"":""Type of study"",""value"":""pre-clinical models"",""source_id"":[0]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",41784617,"{""enhanced_ver"":""Bevacizumab resistance is driven by PKM2 lactylation, which promotes vasculogenic mimicry in CRC. Inhibition of PKM2 lactylation synergizes with bevacizumab, improving therapeutic efficacy (pre-clinical models)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""3""],""rationale"":[""The sentence does not comment on how effectiveness was not described; it describes the mechanism and synergy with bevacizumab."",""The sentence is specifically about bevacizumab's effectiveness in CRC, not another condition."",""The sentence is specific enough for experts, detailing the mechanism and synergy."",""The sentence offers actionable insights for oncologists, suggesting that targeting PKM2 lactylation may improve bevacizumab efficacy in CRC."",""The study type is pre-clinical models, which is classified as level 3.""]}",,999
"Bevacizumab was the first available anti-angiogenic therapy with a monoclonal antibody, initially approved against colorectal cancer.",[0],"['Bevacizumab was the first available anti-angiogenic therapy with a monoclonal antibody, initially approved against colorectal cancer. It is now used intravenously in the treatment of several other malignancies and in combination with chemotherapy. It']","{""fieldresult"":[{""name"":""Bevacizumab effectiveness"",""value"":""Bevacizumab was the first available anti-angiogenic therapy with a monoclonal antibody, initially approved against colorectal cancer."",""source_id"":[0]}]}",in vitro,[0],"['in all irradiated samples and in a concentration-dependent manner. The immunogenic properties of Bevacizumab aggregates were assessed on human monocytes-derived dendritic cells, which revealed no evidence of dendritic cell activation in vitro. At very']","{""fieldresult"":[{""name"":""Type of study"",""value"":""in vitro"",""source_id"":[0]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",41513015,"{""enhanced_ver"":""Bevacizumab was the first available anti-angiogenic therapy with a monoclonal antibody, initially approved against colorectal cancer (in vitro)."",""evaluations"":[""NO"",""YES"",""NO"",""NO"",""3""],""rationale"":[""The sentence does not comment on the lack of effectiveness description; it describes the approval and use of Bevacizumab."",""The sentence is about the effectiveness of Bevacizumab on colorectal cancer."",""The sentence is not specific enough for experts as it lacks detailed outcomes or actionable insights."",""The sentence does not offer actionable insights for practicing oncologists as it is preclinical."",""The study type is in vitro, which corresponds to priority level 3.""]}",,999
"Bevacizumab was used in combination with other therapies, resulting in significant tumor shrinkage and decrease in volume.","[1, 2, 3]","['or tumor exhibiting high-risk features with an intravascular tumor thrombus and high proliferative activity. This patient initially underwent an endoscopic photodynamic therapy combined with ""oxaliplatin + capecitabine"" chemotherapy, bevacizumab, and', 'photodynamic therapy combined with ""oxaliplatin + capecitabine"" chemotherapy, bevacizumab, and sintilimab monotherapy, resulting in some significant tumor shrinkage and decrease in volume. Subsequent sequential therapeutic strategies included', 'tumor shrinkage and decrease in volume. Subsequent sequential therapeutic strategies included radiofrequency ablation, second-line chemotherapy combined with bevacizumab, and sintilimab. Following 15 months of intensive neoadjuvant conversion therapy, the']","{""fieldresult"":[{""name"":""Bevacizumab effectiveness"",""value"":""Bevacizumab was used in combination with other therapies, resulting in significant tumor shrinkage and decrease in volume."",""source_id"":[1,2,3]}]}",Case report,[0],['Photodynamic therapy combined with radiofrequency ablation and systemic therapy for KRAS-mutant advanced low rectal cancer: A case report.'],"{""fieldresult"":[{""name"":""Type of study"",""value"":""Case report"",""source_id"":[0]}]}",NP,[],[],"{""fieldresult"":[{""name"":""Num participants"",""value"":""NP"",""source_id"":[]}]}",41679415,"{""enhanced_ver"":""Bevacizumab was used in combination with other therapies, resulting in significant tumor shrinkage and decrease in volume (Case report; 1 patient)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""2""],""rationale"":[""The sentence does not comment on the lack of effectiveness description; it describes observed effectiveness."",""The sentence is about the effectiveness of Bevacizumab on Colorectal cancer."",""The sentence is specific enough for experts, including study type and number of patients."",""The sentence offers actionable insights for oncologists, even though it is a case report."",""The study type is a case report, which is level 2.""]}",,999
"No significant differences in ORR or TTF were observed in patients receiving bevacizumab for RAS wild-type, left-sided CRC.","[0, 1, 2]","['and bevacizumab for patients with RAS-amplified, RAS wild-type, left-sided CRC becomes an important clinical question. In our RASwt-RASa-LS cohort, no significant differences in the ORR or the TTF were observed between patients receiving anti-EGFR', 'The Data Supplement (Supplementary Table 2) shows the patient characteristics of the bevacizumab cohort. More than 90% of patients in both groups received either triplet or doublet chemotherapy. Regarding treatment outcomes, no significant differences', 'RAS wild-type, left-sided, unresectable metastatic CRC. In that trial, the ORR was higher in the panitumumab group than in the bevacizumab group, while no difference was observed in progression-free survival. Notably, overall survival was significantly']","{""fieldresult"":[{""name"":""Bevacizumab effectiveness"",""value"":""No significant differences in ORR or TTF were observed in patients receiving bevacizumab for RAS wild-type, left-sided CRC."",""source_id"":[0,1,2]}]}",retrospective observational study,[2],"['We conducted a retrospective observational study using the Center for Cancer Genomics and Advanced Therapeutics database in Japan, which includes clinical and genomic data from patients who underwent comprehensive genomic profiling. We analyzed the data']","{""fieldresult"":[{""name"":""Type of study"",""value"":""retrospective observational study"",""source_id"":[2]}]}","4,858 patients with Colorectal cancer are treated with Bevacizumab in the study",[2],"['who received first-line chemotherapy with anti-EGFR antibodies (the RASwt-aEGFRa cohort, n = 1,649) and patients who received first-line chemotherapy with bevacizumab (the bevacizumab cohort, n = 4,858). First-line chemotherapy was defined as the initial']","{""fieldresult"":[{""name"":""Num participants"",""value"":""4,858 patients with Colorectal cancer are treated with Bevacizumab in the study"",""source_id"":[2]}]}",41505680,"{""enhanced_ver"":""No significant differences in ORR or TTF were observed in patients receiving bevacizumab for RAS wild-type, left-sided CRC (retrospective observational study; 4,858 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""2""],""rationale"":[""The sentence does not comment on how the effectiveness was not described; it directly reports the observed outcome."",""The sentence is specifically about the effectiveness of bevacizumab on colorectal cancer, not another condition."",""The sentence is specific enough for experts, including the study type and number of patients."",""The sentence provides actionable insights for oncologists regarding bevacizumab use in RAS wild-type, left-sided CRC."",""The study type is a retrospective observational study, which is classified as level 2.""]}",,999
"Bevacizumab, as part of the TB regimen, showed a disease control rate of 73.53% in late-line mCRC, but FP demonstrated superior survival outcomes.","[3, 9]","['control rate was 93.06% versus 73.53%. The FP suggested superior survival outcomes compared to TB in patients with late-line mCRC both in crude and further analyses, warranting a large-scale prospective study.', 'Subgroup analysis indicated that FP demonstrated lower HR. Additionally, in the raw set, the objective response rate was 16.67% versus 8.82%, and the disease control rate was 93.06% versus 73.53%. The FP suggested superior survival outcomes compared to TB']","{""fieldresult"":[{""name"":""Bevacizumab effectiveness"",""value"":""Bevacizumab, as part of the TB regimen, showed a disease control rate of 73.53% in late-line mCRC, but FP demonstrated superior survival outcomes."",""source_id"":[3,9]}]}",retrospective cohort study,"[0, 1, 2]","['better of the two. Thus, in this retrospective cohort study, we conducted a comparative analysis by enrolling 106 eligible patients at the Hunan Cancer Hospital, China. Based on the treatment received, 72 and 34 patients were allocated to the FP and TB', 'Fruquintinib with programmed cell death - 1Â\xa0inhibitors versus triflueridine - tipiracil - 102Â\xa0with bevacizumab in late-line mCRC: A retrospective cohort study based on propensity score matching.', 'to be effective in the treatment of patients with metastatic colorectal cancer (mCRC). However, no comparative studies have been done to indicate the better of the two. Thus, in this retrospective cohort study, we conducted a comparative analysis by']","{""fieldresult"":[{""name"":""Type of study"",""value"":""retrospective cohort study"",""source_id"":[0,1,2]}]}",34 patients with Colorectal cancer are treated with Bevacizumab in the study,[2],"['better of the two. Thus, in this retrospective cohort study, we conducted a comparative analysis by enrolling 106 eligible patients at the Hunan Cancer Hospital, China. Based on the treatment received, 72 and 34 patients were allocated to the FP and TB']","{""fieldresult"":[{""name"":""Num participants"",""value"":""34 patients with Colorectal cancer are treated with Bevacizumab in the study"",""source_id"":[2]}]}",41684147,"{""enhanced_ver"":""Bevacizumab, as part of the TB regimen, showed a disease control rate of 73.53% in late-line mCRC, but FP demonstrated superior survival outcomes (retrospective cohort study; 34 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""2""],""rationale"":[""The sentence does not comment on how the effectiveness was not described; it directly describes the observed effectiveness."",""The sentence is specifically about Bevacizumab's effectiveness in Colorectal cancer, not another condition."",""The sentence is specific enough for experts, including study type and number of patients."",""The sentence offers actionable insights for oncologists regarding treatment options in late-line mCRC."",""The study is a retrospective cohort study with 34 patients, which is classified as level 2.""]}",,999
FOLFOX-HAIC plus intravenous bevacizumab or cetuximab showed effective tumor response and safety in treating initially unresectable colorectal liver metastasis.,"[3, 6, 9]","['OBJECTIVE: To evaluate the conversion to resection rate (CTRR), treatment safety and short-term oncological outcomes of FOLFOX-hepatic arterial infusion chemotherapy (FOLFOX-HAIC) plus intravenous bevacizumab or cetuximab for initially unresectable', 'The CTRR, tumor response, safety of drug treatment and surgery, potential predictive factors, and short-term oncological outcomes were got to preliminarily evaluate this conversion regimen. RESULTS: A consecutive cohort of 42 patients were screened, and', 'was 23.1%, but serious complication rate was only 7.7% and no death occurred with 90 days after surgery. CONCLUSION: FOLFOX-HAIC was an effective and safe conversion treatment for IUCRLM without extrahepatic metastasis.']","{""fieldresult"":[{""name"":""Bevacizumab effectiveness"",""value"":""FOLFOX-HAIC plus intravenous bevacizumab or cetuximab showed effective tumor response and safety in treating initially unresectable colorectal liver metastasis."",""source_id"":[3,6,9]}]}",clinical trial,[2],"['Conversion treatment with hepatic arterial infusion of oxaliplatin, leucovorin and fluorouracil plus intravenous bevacizumab or cetuximab for initially unresectable colorectal liver metastasis: A prospective study.']","{""fieldresult"":[{""name"":""Type of study"",""value"":""clinical trial"",""source_id"":[2]}]}","42 patients were screened, and finally, 19 patients were enrolled in the study.",[5],"['evaluate this conversion regimen. RESULTS: A consecutive cohort of 42 patients were screened, and finally, 19 patients were enrolled in the study. 13 patients successfully underwent liver resection, the CTRR was 68.4%. Patients in no resection group']","{""fieldresult"":[{""name"":""Num participants"",""value"":""42 patients were screened, and finally, 19 patients were enrolled in the study."",""source_id"":[5]}]}",41775173,"{""enhanced_ver"":""FOLFOX-HAIC plus intravenous bevacizumab or cetuximab showed effective tumor response and safety in treating initially unresectable colorectal liver metastasis (clinical trial; 42 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""1""],""rationale"":[""The sentence does not comment on how the effectiveness was not described; it directly describes the observed effectiveness."",""The sentence is specifically about the effectiveness of bevacizumab on colorectal cancer, not another condition."",""The sentence is specific enough for experts, including the study type and number of patients."",""The sentence offers actionable insights for oncologists regarding the use of bevacizumab in colorectal liver metastasis."",""The study is a clinical trial with more than one patient, which is level 1 priority.""]}",,999
"Bevacizumab combined with chemotherapy (Bev/CT) has demonstrated durable clinical responses and improved disease control rate (DCR), but its effectiveness is often limited by intrinsic or acquired res",[4],"['treatment when combined with chemotherapy (Bev/CT). This regimen has demonstrated durable clinical responses and improved disease control rate (DCR). However, its effectiveness is often limited by intrinsic or acquired resistance.']","{""fieldresult"":[{""name"":""Bevacizumab effectiveness"",""value"":""Bevacizumab combined with chemotherapy (Bev/CT) has demonstrated durable clinical responses and improved disease control rate (DCR), but its effectiveness is often limited by intrinsic or acquired res"",""source_id"":[4]}]}","retrospective, single-center, observational study",[2],"['Objectives:\nTo investigate the clinical significance of the fibrinogen-to-prealbumin ratio (FPR) as a biomarker in mCRC patients receiving first-line Bev plus CT (Bev/CT).\nDesign:\nA retrospective, single-center, observational study.\nMethods:']","{""fieldresult"":[{""name"":""Type of study"",""value"":""retrospective, single-center, observational study"",""source_id"":[2]}]}",648 eligible mCRC patients were treated with Bevacizumab in the study.,[0],"['In this study, we enrolled a total of 648 eligible mCRC patients. Among them, 473 patients received first-line Bev/CT and were allocated to a discovery cohort (nâ\x80\x89=â\x80\x89249), an internal validation cohort (nâ\x80\x89=â\x80\x89115), and an external validation cohort']","{""fieldresult"":[{""name"":""Num participants"",""value"":""648 eligible mCRC patients were treated with Bevacizumab in the study."",""source_id"":[0]}]}",41523907,"{""enhanced_ver"":""Bevacizumab combined with chemotherapy (Bev/CT) has demonstrated durable clinical responses and improved disease control rate (DCR), but its effectiveness is often limited by intrinsic or acquired resistance (retrospective, single-center, observational study; 648 patients)."",""evaluations"":[""NO"",""YES"",""YES"",""YES"",""2""],""rationale"":[""The sentence does not comment on how the effectiveness was not described; it directly describes the effectiveness."",""The sentence is about the effectiveness of Bevacizumab on Colorectal cancer."",""The sentence is specific enough for experts, including details about limitations and study type."",""The sentence offers actionable insights for oncologists regarding limitations of Bevacizumab in Colorectal cancer."",""The study type is a retrospective, single-center, observational study, which is classified as level 2.""]}",,999
